200401  2o 2+ 1o 1-  0+ 1+ 1o 2o   11-      5 0.2
200402  1o 2o 2o 1+  1o 1- 2o 3-   13-      6 0.3
200403  2+ 2o 1- 1-  1o 1+ 2+ 4-   14o D4*  8 0.4
200404  2o 0+ 0o 1+  0+ 1- 2- 2-    8o      4 0.1
200405  2- 1+ 1- 1+  1o 1- 0+ 1o    8o Q0   4 0.1
200406  1o 1o 0+ 0o  1o 0+ 0o 0o    4- Q4   2 0.0
200407  0o 0o 0o 0+  0o 0+ 2o 2o    5- Q7   2 0.0
200408  2- 3- 2o 3-  3+ 4- 2- 3+   21o D2* 13 0.7
200409  2- 1- 1- 1-  1+ 0+ 2- 1o    8o      4 0.1
200410  0o 1- 1o 1+  1o 2+ 1o 0+    8-      4 0.1
200411  1o 1- 1- 1-  2o 3+ 2+ 2+   13o      7 0.4
200412  1- 2- 1+ 1o  2+ 2- 3- 1+   13-      6 0.3
200413  1o 2- 1- 1-  1+ 1+ 1+ 1+    9+      4 0.2
200414  2+ 3+ 2+ 2-  1- 0+ 0+ 2o   13o D5*  7 0.4
200415  3o 3- 2- 1o  1o 1- 1o 1+   12+      7 0.3
200416  2o 1o 1o 0+  0+ 1o 1o 0+    7o Q9   4 0.1
200417  1o 0+ 1+ 1o  1- 0+ 0+ 1+    6+ Q6   3 0.1
200418  1+ 2- 1+ 1o  1- 0+ 0+ 0o    7- Q8   3 0.1
200419  0o 0o 0+ 0o  1- 0+ 0+ 0o    2- Q1   1 0.0
200420  2+ 3o 3+ 5-  4+ 2+ 0+ 1-   21o D1* 16 0.9
200421  1+ 2- 1o 2-  3- 3+ 2o 2+   16o D3*  8 0.5
200422  3o 3o 1+ 1o  2- 1o 1o 1+   13+      7 0.4
200423  1- 1o 0+ 1o  0+ 0+ 0+ 2-    6- Q5   3 0.1
200424  2+ 1- 1- 1o  1o 2o 2+ 3-   13-      6 0.3
200425  2+ 2o 2- 0+  1- 1o 0o 0o    8o      4 0.1
200426  1- 2o 1- 1+  2- 2- 2- 3-   12+      6 0.3
200427  3- 1+ 1o 1-  2- 2o 2o 1o   12+      6 0.3
200428  3- 1o 0o 1+  1o 1+ 1- 1+    9+      5 0.2
200429  1o 0+ 0o 0+  1- 0+ 1- 0+    4- Q3   2 0.0
200430  1o 0+ 0+ 0+  0o 0o 0o 0o    2o Q2   1 0.0
2004                                  Mean  5 0.23

2004 Q 19  30  29   6  23  17   7  18  16   5 
2004 D 20*  8* 21*  3* 14*
