201001  2+ 1+ 2o 3o  3- 3+ 2+ 2-   19-     10 0.6
201002  2o 2o 1+ 3-  2+ 2- 2+ 1+   16-      8 0.4
201003  2- 1+ 1+ 2-  1- 1- 1o 1o    9+      4 0.2
201004  1- 2- 0+ 1-  2- 0+ 0+ 1o    7-      4 0.1
201005  0+ 0+ 1o 1o  2+ 3+ 4+ 3-   15+     10 0.6
201006  2+ 4- 1o 1-  1o 0+ 0+ 1-   10o      6 0.3
201007  0+ 1- 0+ 1o  2+ 1+ 1- 1o    8-      4 0.1
201008  1- 0+ 1- 0+  0o 0+ 0+ 1-    3+ Q5   2 0.0
201009  0+ 0o 0+ 0o  0o 0o 0o 0o    1- Q2   0 0.0
201010  0o 0o 0o 1-  0o 1- 0o 0o    1+ Q3   1 0.0
201011  0o 0o 0+ 0+  0+ 1- 0+ 1+    3+ Q8   2 0.0
201012  0+ 0o 0o 0+  1- 1o 1- 1+    4+ Q9   2 0.0
201013  1o 1- 0+ 0+  0o 1- 0+ 0+    4- Q7   2 0.0
201014  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
201015  0o 0o 0o 0o  0o 0+ 1- 1o    2o Q4   1 0.0
201016  1+ 1- 1- 1-  1- 1- 1- 1+    7- Q0   4 0.1
201017  1- 2- 2o 1o  1- 0+ 1+ 1+    9o      4 0.2
201018  1- 0+ 0+ 0+  0o 0+ 0+ 1o    3+ Q6   2 0.0
201019  0+ 1o 1o 2o  3o 2- 2- 2-   12+      6 0.3
201020  2+ 2- 1- 0+  0o 0+ 1o 1-    7o      4 0.1
201021  2+ 2+ 4- 2o  1- 1- 1o 2-   14+      8 0.4
201022  3+ 0+ 0+ 0+  1o 1- 1+ 1+    9-      5 0.2
201023  1+ 1+ 0+ 0+  2- 3- 5- 5-   17o D4* 14 0.8
201024  3+ 4o 4o 3o  2- 3+ 3o 2+   25- D1* 17 0.9
201025  3- 1+ 2o 3-  4- 4- 4- 2+   22o D3* 14 0.8
201026  2o 4- 3+ 3-  3+ 2o 3o 3o   23o D2* 14 0.8
201027  2- 2- 3+ 3-  0+ 0+ 2+ 2o   14+      8 0.4
201028  2- 3- 1+ 2-  3- 3+ 3+ 2-   18+     10 0.6
201029  1o 3- 3- 3+  2+ 4o 1+ 2o   19+ D5* 12 0.7
201030  2o 1+ 1- 1o  0+ 0+ 1o 2o    9-      4 0.1
201031  1- 1+ 2+ 2o  2- 2+ 0o 1-   11o      5 0.2
2010                                  Mean  6 0.29

2010 Q 14   9  10  15   8  18  13  11  12  16 
2010 D 24* 26* 25* 23* 29*
