200601  1- 1o 0+ 1o  0+ 1o 3- 3-   10-      5 0.2
200602  2- 3o 1+ 1+  2- 1o 2- 1+   13o D2*  6 0.3
200603  1o 1o 0o 0+  1o 1- 0+ 0+    5- Q8   3 0.0
200604  1- 0+ 1o 0+  0+ 1o 2- 2-    7o      4 0.1
200605  0+ 0+ 0+ 1o  1+ 1o 1- 0+    5+      3 0.1
200606  0+ 0+ 0+ 1-  1+ 0+ 0+ 0o    4- Q4   2 0.0
200607  1- 1+ 0+ 1o  1o 2+ 4- 2+   13- D1*  7 0.4
200608  2- 2o 1- 1-  1- 1o 1o 0+    8o      4 0.1
200609  1- 1- 0o 0+  1- 1o 2o 3-    8o      4 0.1
200610  2- 2+ 2+ 2+  1o 1o 1o 1+   13o D3*  6 0.3
200611  2- 1+ 0+ 0+  1- 0+ 0+ 0o    5o      3 0.0
200612  0+ 1o 1- 1-  1- 1- 0+ 0+    5- Q6   3 0.0
200613  0o 1- 1- 0+  1+ 1- 0+ 0o    4o Q7   2 0.0
200614  0o 0+ 0+ 0o  0o 1- 1o 1-    3o Q3   2 0.0
200615  0+ 1- 1- 1+  1o 0+ 1- 0o    5o Q0   3 0.0
200616  1- 1o 2- 1o  1- 1o 2+ 2-   10o      5 0.2
200617  1+ 1- 1- 1o  2- 1+ 0o 0o    7-      3 0.1
200618  0+ 2- 1o 1o  1o 1- 1o 1-    7+      4 0.1
200619  1- 1o 0+ 1o  1- 1- 1+ 2-    7+      4 0.1
200620  2o 2o 2+ 1o  0+ 1o 1- 1o   10+      5 0.2
200621  1- 1- 0+ 1+  1+ 1- 1- 1-    6+      3 0.1
200622  0o 0+ 1- 0+  0+ 0+ 0+ 1o    3+ Q2   2 0.0
200623  1- 0+ 1+ 0+  1- 1- 0+ 1+    6-      3 0.1
200624  1o 1o 1- 1o  1- 1- 0+ 1-    6o      3 0.1
200625  1- 1- 0+ 0+  0+ 1- 0+ 1o    4+ Q5   3 0.0
200626  2o 0+ 0+ 0+  1o 1o 2+ 3-   10o D5*  5 0.2
200627  3- 1+ 1+ 2+  2+ 0+ 1- 1+   12+ D4*  6 0.3
200628  1o 1o 0+ 1-  0o 0+ 1- 1o    5o Q9   3 0.0
200629  1- 1- 0o 0+  0+ 1- 0+ 0+    3+ Q1   2 0.0
200630  2- 2- 2- 0+  0+ 1- 0o 1+    8-      4 0.1
2006                                  Mean  4 0.11

2006 Q 29  22  14   6  25  12  13   3  28  15 
2006 D  7*  2* 10* 27* 26*
