210501  1+ 0o 1o 2o  1+ 1+ 1o 1+    9+      4 0.2
210502  3o 3- 3o 1+  1- 2o 1+ 2-   16-      8 0.5
210503  2o 1o 2o 2-  1o 1o 0+ 1-   10-      5 0.2
210504  1+ 0+ 1- 1o  0+ 1- 1+ 1-    6+      3 0.1
210505  0+ 0+ 0o 0+  0o 0o 0+ 1-    2o      1 0.0
210506  1o 1- 0+ 1-  1+ 1o 0+ 0o    5+      3 0.1
210507  0o 0+ 0o 0+  1- 1o 1o 1o    4+      2 0.0
210508  1- 0+ 1- 1+  1+ 0+ 0+ 0o    5o      3 0.0
210509  0o 0+ 0+ 0+  1- 1+ 0+ 1+    5-      3 0.0
210510  1o 2o 1+ 2o  2o 1+ 2o 1+   13o      6 0.3
210511  2- 1o 0+ 0+  0+ 0o 0+ 0+    4+      2 0.0
210512  1o 1o 4o 4+  7o 7- 2o 3o   29o     42 1.5
210513  2o 2- 2- 1+  2o 1o 1+ 2o   13o      6 0.3
210514  0+ 1- 1- 0o  0+ 1o 1+ 2o    6+      3 0.1
210515  3+ 1+ 2+ 2-  1+ 1o 1- 1o   13-      7 0.3
2105                                  Mean  7 0.24
