200501  0+ 1+ 2o 1+  2- 1o 0+ 1-    9-      4 0.1
200502  0o 2- 2- 1+  1o 1o 1- 1o    8+      4 0.1
200503  0+ 1+ 0+ 0+  1- 0+ 2- 3-    8-      4 0.1
200504  2- 1+ 1- 1+  2o 1+ 0+ 1o   10-      5 0.2
200505  1+ 1+ 1o 1+  1- 2o 2- 2o   11+ D3*  5 0.2
200506  3+ 2+ 0o 0+  1- 0+ 1- 0+    8o D4*  5 0.2
200507  0+ 1o 1+ 1o  1o 0+ 0+ 0+    6- Q0   3 0.1
200508  1o 0+ 1- 1-  1+ 0o 0+ 1o    5+ Q9   3 0.1
200509  1- 0o 0o 0+  0+ 0+ 0+ 0o    2o Q2   1 0.0
200510  0+ 0o 0o 0+  0+ 1o 2- 2+    6o      3 0.1
200511  1+ 2- 2- 1+  0+ 0+ 0+ 1-    8-      4 0.1
200512  1- 0+ 1- 0+  1- 0+ 0+ 2+    6-      3 0.1
200513  1+ 0+ 0o 1-  1- 1o 0+ 1+    6-      3 0.1
200514  0+ 0+ 0+ 0+  0+ 0+ 0+ 0+    3- Q1   2 0.0
200515  0+ 1o 1o 1o  0+ 0+ 0+ 0o    4+ Q6   2 0.0
200516  0o 0+ 1- 1-  2- 1- 0+ 0+    5- Q8   3 0.0
200517  0o 0+ 0o 1-  0+ 1- 0+ 1o    3+ Q3   2 0.0
200518  0+ 0o 0o 0+  1- 2o 2- 1-    6-      3 0.1
200519  1o 1o 1+ 2-  1+ 1- 1o 1+    9+      4 0.2
200520  1o 0+ 0o 0+  1- 1- 1- 0+    4o Q4   2 0.0
200521  1o 2o 1o 1-  1- 1o 1+ 2o   10-      5 0.2
200522  2- 1o 1o 1-  2o 2o 2+ 1-   11+ D2*  5 0.2
200523  1+ 2- 1o 0+  0+ 1- 1- 0o    6o      3 0.1
200524  1- 0+ 0o 0+  2- 2+ 2- 1o    8o      4 0.1
200525  2- 1o 1o 1-  2- 1o 1o 2o   10o D5*  5 0.2
200526  1o 1- 1- 1-  0+ 0+ 0+ 2-    6-      3 0.1
200527  1o 0+ 0+ 1o  1+ 0+ 1+ 0o    6-      3 0.1
200528  0o 1- 0+ 0+  1o 1- 0+ 1-    4o Q5   2 0.0
200529  1- 0+ 0+ 0+  1- 0+ 0+ 2-    5- Q7   3 0.0
200530  2o 3- 3+ 3+  3o 3- 3+ 3+   24- D1* 15 0.8
200531  1o 1o 0+ 0+  1o 1o 0+ 1o    6o      3 0.1
2005                                  Mean  4 0.12

2005 Q 14   9  17  20  28  15  29  16   8   7 
2005 D 30* 22*  5*  6* 25*
