200301  3+ 1+ 1+ 2o  1- 1- 1- 1o   11o      6 0.3
200302  2- 1o 0o 1-  2o 1+ 0+ 1o    8o Q0   4 0.1
200303  2o 1o 1- 1+  2o 2- 1- 2o   11+      5 0.2
200304  0o 1+ 1o 1o  2- 3o 2o 1+   11+      6 0.3
200305  1- 1o 1o 1-  2- 1- 1- 0o    6+ Q4   3 0.1
200306  1- 0+ 1o 2-  2o 2- 0o 0o    7+ Q8   4 0.1
200307  0+ 1o 1+ 1o  2o 1- 0+ 0+    7o Q6   4 0.1
200308  1+ 2- 1+ 0+  1- 2- 2- 2-   10+      5 0.2
200309  1- 2o 2- 1-  1o 1+ 2- 1o   10o      5 0.2
200310  2o 0+ 1+ 1-  1- 1- 0o 1o    7- Q5   3 0.1
200311  2- 0+ 0+ 1-  1- 0+ 0o 0+    4+ Q2   2 0.0
200312  1- 1+ 2- 1-  1+ 2+ 3- 1-   11+      6 0.3
200313  2o 3- 2o 2+  1o 2- 1o 1o   14-      7 0.3
200314  0o 0o 0+ 1-  1- 0+ 1o 1-    4- Q1   2 0.0
200315  0o 0+ 0+ 2-  1+ 1o 2- 2-    8o Q9   4 0.1
200316  2o 0+ 1- 1o  1+ 1o 2- 1-    9-      4 0.1
200317  2- 0+ 1+ 2-  1+ 2- 1+ 2-   11o      5 0.2
200318  0+ 1- 1- 0+  2o 2o 3o 2-   11-      6 0.3
200319  4+ 2+ 2+ 2o  2+ 2- 1- 2-   17+ D4* 10 0.6
200320  2+ 1o 2o 0o  1- 2o 2o 3-   13-      6 0.3
200321  2- 2+ 3o 2o  1+ 2o 2- 1+   15+ D5*  8 0.4
200322  2+ 2o 1o 1o  1+ 2- 2+ 2-   13+      6 0.3
200323  2+ 3+ 1+ 3o  2+ 2o 3+ 2o   20- D2* 11 0.6
200324  3- 1o 1o 0+  0+ 0+ 0+ 0o    6o Q7   4 0.1
200325  2- 0o 0+ 1-  1o 0o 0+ 2-    6- Q3   3 0.1
200326  0+ 0+ 0+ 1o  1+ 2- 1- 3o    9-      5 0.2
200327  2o 2- 1o 1-  1o 2o 2o 0+   11-      5 0.2
200328  0o 1- 1+ 2-  1+ 0+ 2- 2+    9+      4 0.2
200329  1- 0+ 2o 2o  3+ 2o 2- 1o   13o      7 0.3
200330  1+ 2+ 1+ 1o  1+ 3+ 3+ 4o   18o D3* 11 0.7
200331  3+ 4o 4- 2o  3o 3- 2+ 1+   22+ D1* 14 0.8
2003                                  Mean  6 0.25

2003 Q 14  11  25   5  10   7  24   6  15   2 
2003 D 31* 23* 30* 19* 21*
