200701  1- 1o 1- 1o  0+ 0+ 2+ 2o    8+      4 0.1
200702  1- 1- 0+ 0+  1- 1+ 1o 1-    6-      3 0.1
200703  0+ 1o 1o 1o  1- 1- 1- 0+    6-      3 0.1
200704  1o 1o 1+ 1o  2o 1+ 2+ 3o   13o D5*  7 0.3
200705  2- 3- 3+ 3-  1+ 1o 2o 3-   17+ D4* 10 0.5
200706  1o 1o 1+ 1-  1+ 1+ 1+ 0+    8+      4 0.1
200707  0+ 1o 2- 0+  0+ 0+ 0+ 1-    5o      3 0.1
200708  0o 1- 0+ 0+  0+ 0+ 0+ 0+    3- Q1   2 0.0
200709  0+ 0+ 1o 1-  1o 1o 1- 0o    5o Q8   3 0.0
200710  0o 0+ 1+ 0+  0+ 0+ 0+ 0o    3o Q4   2 0.0
200711  1- 0+ 0o 0+  0+ 0+ 1- 1o    4- Q3   2 0.0
200712  0+ 0o 0+ 1-  1- 0+ 0o 0+    3- Q2   2 0.0
200713  1o 1+ 2o 2-  1- 1o 1+ 3-   12-      6 0.3
200714  4- 4- 3+ 1+  2- 1o 0+ 0+   15+ D3* 10 0.6
200715  0o 1+ 1+ 1o  2o 2o 1- 0o    8+      4 0.1
200716  0o 0+ 0+ 2-  1o 1o 1o 1o    6+      3 0.1
200717  1o 0+ 0+ 1-  1o 1+ 1o 1+    7o      4 0.1
200718  1+ 1- 1o 0+  1o 0+ 0+ 1o    6o      3 0.1
200719  0o 1- 1o 1o  1o 1- 1- 2-    7-      3 0.1
200720  0+ 1o 1o 0+  0+ 1- 1- 1o    5+ Q9   3 0.1
200721  1o 1+ 1- 0+  1- 1o 1- 2-    7+      4 0.1
200722  1- 1- 0+ 0+  0+ 1+ 1o 0o    5- Q7   3 0.0
200723  0+ 0+ 1- 1-  1o 0+ 0+ 0+    4o Q5   2 0.0
200724  1o 3- 3- 2o  2+ 4- 3- 3o   20o D2* 12 0.7
200725  4- 3- 2+ 2o  2o 2- 2- 4o   20o D1* 12 0.7
200726  1o 0+ 0+ 0+  1- 0+ 0+ 1o    4+ Q6   3 0.0
200727  1- 1- 1o 0+  1- 1- 1- 1o    6- Q0   3 0.1
200728  2o 1- 1- 0+  1o 1- 1- 1-    7-      4 0.1
200729  2o 1- 2- 0+  1+ 1- 1- 0+    8-      4 0.1
200730  1o 1o 2- 1-  0+ 0+ 0o 1-    6-      3 0.1
200731  1o 1o 0+ 1o  1+ 1o 1- 1-    7o      4 0.1
2007                                  Mean  4 0.15

2007 Q  8  12  11  10  23  26  22   9  20  27 
2007 D 25* 24* 14*  5*  4*
