210301  4- 6- 5o 4o  2o 2o 3+ 1+   27o D3  25 1.2
210302  2- 2+ 2+ 2o  3+ 4o 5o 4+   25o     20 1.0
210303  4+ 5- 4+ 3-  3- 2+ 2o 3-   26- D5* 19 1.0
210304  4- 3o 1- 0+  2o 2o 2- 3-   16o      9 0.5
210305  1+ 1+ 2o 1o  1- 1- 2- 1+   10o Q9   5 0.2
210306  4o 4+ 3o 2+  3o 1+ 2+ 2+   23-     15 0.9
210307  2- 2- 1- 2-  1- 3o 1+ 4-   14+      8 0.4
210308  0+ 1- 0+ 0+  1o 1+ 3o 2-    9- Q0K  5 0.2
210309  1+ 1- 1- 0+  1- 1- 0+ 0o    5- Q3   3 0.0
210310  0o 0o 0o 0+  0o 0+ 1+ 0+    2+ Q1   1 0.0
210311  0o 0+ 0o 0+  1- 1- 1o 3-    6- Q6   3 0.1
210312  2+ 2+ 3+ 2o  2- 3- 3+ 3-   20+     11 0.7
210313  3o 4+ 3- 3-  2- 3- 4- 3+   24o     16 0.9
210314  4- 5o 4+ 3o  2o 3+ 3+ 4o   29- D2  23 1.1
210315  3- 2+ 1+ 2-  1o 2+ 1+ 1-   13+      7 0.3
210316  1- 1o 0o 0o  1- 1- 1- 0+    4o Q2   2 0.0
210317  2o 1- 0+ 0o  1+ 3- 1o 0+    8+ Q8   4 0.2
210318  2o 2- 1+ 1o  1- 0+ 0+ 2-    9o Q7   4 0.2
210319  2+ 2o 1o 1o  0+ 1- 1+ 2-   10+      5 0.2
210320  2+ 3o 6- 5-  3+ 4- 4- 4-   30o D1  27 1.2
210321  4o 3+ 2- 1+  4- 5- 5- 4-   27o D4  22 1.1
210322  3- 2+ 2- 1+  1+ 1+ 2- 1+   14-      7 0.3
210323  3o 3+ 2+ 1+  2o 2+ 2- 3-   19-     10 0.6
210324  3o 3- 2+ 2-  1+ 1- 2o 3+   17o      9 0.5
210325  5o 4o 3+ 2-  3o 1o 1- 3o   22-     17 0.9
210326  3+ 3o 3o 2+  1+ 2- 1+ 2-   18-     10 0.6
210327  0o 0+ 0+ 1-  0+ 1- 3o 4o    9+      7 0.3
210328  3+ 1- 1o 0+  1- 0+ 1o 1+    9-      5 0.2
210329  1- 2- 1- 0+  0+ 0+ 0+ 1o    5+ Q4   3 0.1
210330  0o 1- 0+ 0o  1- 0+ 2- 2o    6- Q5   3 0.1
210331  3- 2+ 2o 2-  1+ 2+ 2- 3o   17o      9 0.5
2103                                  Mean 10 0.50

2103 Q 10  16   9  29  30  11  18  17   5   8K
2103 D 20  14   1  21   3*
