210201  2- 2o 0o 0o  1o 2o 1+ 2o   10o Q8   4 0.2
210202  4o 4o 4- 3-  4- 2+ 1- 2-   23-     16 0.9
210203  2+ 3o 2o 2+  1- 3- 4o 3-   20-     12 0.7
210204  2+ 3o 2+ 2-  2o 0o 0+ 2-   13+      7 0.3
210205  3- 2o 1- 2-  1- 1- 1o 1o   10+ Q9   5 0.2
210206  1- 0o 0o 0+  1+ 3+ 3+ 2o   11o      7 0.3
210207  4+ 5- 4- 4-  3o 2- 2- 1+   24o D4* 18 1.0
210208  0+ 2- 1o 1+  1- 1+ 2- 3o   11o      6 0.3
210209  1+ 1o 2o 1+  1- 0+ 0o 0o    7- Q4   3 0.1
210210  0+ 0o 1- 1-  1o 1- 0+ 0o    4- Q2   2 0.0
210211  0o 0+ 1- 1o  0o 1o 0o 0o    3o Q1   2 0.0
210212  0o 0+ 0+ 0o  1o 2+ 2+ 3-    9o      5 0.2
210213  3o 3o 2+ 4+  3- 1+ 1- 2+   20-     12 0.7
210214  1+ 2- 2o 1-  1o 1- 0o 0o    7+ Q5   4 0.1
210215  0o 0o 1- 1-  1- 1o 2+ 3-    8o Q7   4 0.1
210216  1+ 3+ 4- 4o  2- 3- 1+ 1o   19o     12 0.7
210217  1+ 2+ 2o 1+  2o 2- 2- 2+   15-      7 0.3
210218  2o 2o 1o 1+  1- 0o 0o 1-    8- Q6   4 0.1
210219  2o 1+ 1+ 2-  4- 4- 4o 4o   22-     15 0.9
210220  3o 3- 4o 3o  3o 4+ 4o 4o   28o D1  21 1.1
210221  4- 4- 4+ 4o  4o 2o 2o 3o   27- D2  20 1.0
210222  4- 4o 2+ 3o  3o 2+ 4- 3+   25+ D5* 17 0.9
210223  4- 3+ 3- 2+  3o 2o 2o 1o   20o     12 0.7
210224  3- 3- 4o 3o  2o 4o 4+ 4-   26+ D3* 19 1.0
210225  4o 4- 3- 2o  1o 3- 3- 3o   22-     14 0.8
210226  3o 2+ 1o 2+  2o 2o 3o 2+   18o      9 0.5
210227  1o 2- 1o 1-  1- 1+ 0+ 1-    7+ Q3   4 0.1
210228  0o 2o 0+ 0+  1+ 1o 2o 3-   10- Q0   5 0.2
2102                                  Mean 10 0.48

2102 Q 11  10  27   9  14  18  15   1   5  28 
2102 D 20  21  24*  7* 22*
