210101  0o 0+ 1- 0+  0+ 1+ 1- 1-    4+      2 0.0
210102  0+ 0o 0o 0+  0o 0o 0o 0o    1- Q1   0 0.0
210103  0o 0o 0o 0o  0+ 0+ 0o 0+    1o Q2   1 0.0
210104  0+ 0o 0+ 1-  0+ 0+ 0+ 0+    3- Q7   2 0.0
210105  2- 1- 1o 1-  4o 3- 1+ 4-   16-     10 0.6
210106  3o 3o 4- 2+  2- 2- 1+ 1+   18o D4* 10 0.6
210107  1+ 2- 1o 1-  0+ 0+ 1+ 2+    9o      4 0.2
210108  0+ 0+ 0+ 0+  0+ 0o 0o 0+    2o Q4   2 0.0
210109  1- 1+ 0+ 0+  0o 0o 0o 0o    3- Q0   2 0.0
210110  1- 0+ 1- 0+  0o 1- 1o 1o    5-      3 0.0
210111  1o 0o 0+ 2+  3+ 4- 3+ 4o   18o D2* 12 0.7
210112  4- 3o 2+ 2o  1+ 1o 1o 1-   15o      9 0.5
210113  1- 0+ 0+ 1o  1+ 1- 1- 1o    6o      3 0.1
210114  0o 0o 0o 0+  0+ 0+ 0o 0+    1+ Q3   1 0.0
210115  2- 0o 0o 0o  0o 1o 1o 0+    4o      2 0.0
210116  0+ 1o 1- 1-  1- 1- 1- 1o    6-      3 0.1
210117  0+ 1+ 0o 0o  0+ 0o 0o 0+    2+ Q9   1 0.0
210118  1- 2- 0o 0o  0+ 0o 1+ 2o    6o      3 0.1
210119  3- 2o 1- 1o  1+ 1- 1+ 1-   10+      5 0.2
210120  1- 1- 2o 2-  2+ 2o 1o 0+   11-      5 0.2
210121  0o 0+ 0o 0+  0o 0+ 0o 1o    2o Q8   1 0.0
210122  0+ 0o 0o 0o  1- 1o 1o 1o    4o      2 0.0
210123  1- 0o 1o 1o  0o 1- 1+ 2o    7-      3 0.1
210124  0+ 2- 1o 1-  1+ 1+ 2- 2o   10o      5 0.2
210125  2- 2- 3+ 3+  2+ 3- 2+ 5-   22o D1* 15 0.8
210126  4- 4o 2- 1o  1+ 2+ 2+ 2o   18+ D3* 11 0.6
210127  2+ 3+ 2o 2+  2- 3- 1o 3o   18+ D5* 10 0.6
210128  3o 0+ 1- 0+  0o 0o 0o 0+    5-      3 0.1
210129  0o 1o 1o 0+  0+ 0+ 0+ 1-    4o      2 0.0
210130  0o 0+ 0o 0+  0+ 1- 0+ 0o    2o Q6   1 0.0
210131  1- 0o 0o 0o  0o 0o 0o 1-    1+ Q5   1 0.0
2101                                  Mean  4 0.18

2101 Q  2   3  14   8  31  30   4  21  17   9 
2101 D 25* 11* 26*  6* 27*
