200801  0o 1- 1- 0+  1- 1o 1o 0+    5- Q8   3 0.0
200802  0+ 1- 1o 3-  3+ 3o 2o 3o   16o D4* 10 0.5
200803  3+ 3+ 3o 3-  2+ 3+ 3o 3+   24+ D2* 15 0.9
200804  2o 3+ 1+ 2-  1+ 1+ 1+ 2-   14o      7 0.4
200805  2- 1+ 1o 1-  1- 1o 2+ 1+   10o      5 0.2
200806  1- 1+ 0+ 1-  2- 1+ 1- 2o    9-      4 0.1
200807  2- 1o 0o 0+  0+ 0+ 1- 1+    6-      3 0.1
200808  2o 2- 1+ 1o  1+ 1o 1- 0+    9+      4 0.2
200809  0o 0+ 0+ 1-  0+ 0+ 0+ 1-    3o Q1   2 0.0
200810  0+ 0+ 0+ 0+  0o 1- 0+ 1-    3o Q2   2 0.0
200811  1o 1- 0+ 0+  0+ 0o 0o 0+    3o Q4   2 0.0
200812  0+ 1+ 1o 1-  1o 1- 1- 0+    6o      3 0.1
200813  2- 1- 0+ 0+  1+ 0+ 0+ 1+    6+      3 0.1
200814  1o 2- 0+ 0+  1- 0+ 1- 1-    6-      3 0.1
200815  0o 0o 1o 0+  0+ 0+ 0+ 0+    3- Q3   2 0.0
200816  1o 1o 1o 1o  0+ 0+ 0+ 1-    6- Q0   3 0.1
200817  1- 0+ 1- 1o  1- 0+ 0+ 1-    5- Q7   3 0.0
200818  1o 1+ 1+ 1+  2- 1- 1o 3o   11+      6 0.3
200819  3- 2+ 0+ 0+  0+ 1- 1- 1o    8+      5 0.2
200820  0+ 1- 0o 1-  1o 1- 0+ 1-    4+ Q6   2 0.0
200821  1- 0+ 0+ 0+  0+ 1- 2- 1+    6-      3 0.1
200822  1- 2o 2- 2-  1o 1+ 2- 2+   12+      6 0.3
200823  2o 2o 1+ 2o  2+ 2- 1o 3-   15o      7 0.4
200824  1- 1- 0+ 0o  1- 1- 0+ 0o    3+ Q5   2 0.0
200825  1- 0+ 1- 0+  1- 1o 1o 0+    5o Q9   3 0.1
200826  2- 2+ 1o 2-  1- 2+ 1o 2-   12+      6 0.3
200827  2+ 1+ 2- 2-  3+ 1o 1o 1o   13+      7 0.4
200828  0o 0+ 1- 2-  3- 5- 2- 2+   14o D5* 10 0.5
200829  3- 3- 3+ 2+  1+ 2o 3+ 3+   21o D3* 12 0.7
200830  2o 3+ 2o 1+  2- 2o 1o 3-   16o      8 0.4
200831  4- 4+ 3- 5-  4+ 4- 4- 3o   30o D1  24 1.2
2008                                  Mean  6 0.25

2008 Q  9  10  15  11  24  20  17   1  25  16 
2008 D 31   3* 29*  2* 28*
