210401  3o 3- 2+ 1o  0+ 1o 2o 1+   14-      7 0.4
210402  1+ 1- 0o 1-  1o 3o 2+ 1-   10-      5 0.2
210403  1o 1+ 1- 1o  1o 0+ 1o 1-    7o Q4   4 0.1
210404  1o 0o 1- 0+  1o 1- 0+ 1-    5- Q3   3 0.0
210405  1- 0+ 0+ 2-  2+ 1o 1- 0+    7+ Q9   4 0.1
210406  0o 0o 0o 0+  1- 0+ 1o 1-    3o Q1   2 0.0
210407  2o 2+ 3- 4-  4- 4+ 3o 1o   23-     15 0.9
210408  1o 1- 0o 1o  1o 1- 2- 1o    7o Q6   4 0.1
210409  0+ 2o 0o 1-  0+ 1o 0o 0+    5- Q5   2 0.0
210410  1- 0+ 0+ 1-  1o 2o 1- 2-    7+ Q8   4 0.1
210411  2o 2+ 2- 1-  1- 1- 2o 2-   12-      6 0.2
210412  1o 0+ 1- 2-  1+ 2o 1o 1-    9- Q0   4 0.1
210413  0+ 1o 1- 1+  1+ 2o 1+ 2-   10-      5 0.2
210414  1- 1o 0o 2-  1o 2- 2o 3o   11o      6 0.3
210415  3o 3+ 5- 1o  2+ 2o 1- 1+   18+     12 0.7
210416  2o 2+ 3- 2+  3+ 3o 5o 4+   25o D2* 19 1.0
210417  4+ 5- 5- 4-  4+ 4- 3o 4-   32o D1  28 1.2
210418  4- 3+ 3+ 4-  3- 2+ 3o 3+   25+ D5* 17 0.9
210419  3+ 4- 3o 3+  3o 3- 3+ 3+   26- D3* 17 0.9
210420  3- 3o 2o 3o  2- 2+ 3+ 3o   21o     12 0.7
210421  2o 2+ 2+ 2-  2- 1- 1- 1o   12+      6 0.3
210422  1+ 1+ 1+ 1+  1+ 0o 0+ 2o    9o      4 0.1
210423  3- 3- 2o 2o  1o 3o 3- 4+   20+     13 0.7
210424  3- 3- 2- 2o  1+ 1o 1+ 3-   15+      8 0.4
210425  5o 4o 3- 3-  3- 2- 3+ 2o   24o D4* 18 1.0
210426  4+ 4o 3o 1o  2- 1- 1- 2-   17o     12 0.7
210427  3- 3o 1+ 1+  1o 1o 0+ 0+   11o      6 0.3
210428  1o 0o 0o 0+  0+ 1- 0+ 1-    3+ Q2   2 0.0
210429  1o 1+ 1o 1o  1+ 1o 1+ 0+    8+ Q7   4 0.1
210430  0+ 1o 0o 1o  0+ 3- 2+ 2-    9+      5 0.2
2104                                  Mean  8 0.40

2104 Q  6  28   4   3   9   8  29  10   5  12 
2104 D 17  16* 19* 25* 18*
