200101  0+ 0o 0o 1-  1- 1+ 1o 1-    5- Q9   2 0.0
200102  0o 0o 0+ 0+  0+ 1- 1o 1o    4- Q7   2 0.0
200103  1- 1o 3- 2o  1o 1- 0+ 1+   10-      5 0.2
200104  2- 1- 1- 1-  1o 2o 2+ 2o   11o      5 0.2
200105  2- 1o 2- 1+  2o 2o 3+ 3-   16- D3*  8 0.4
200106  3+ 3o 2- 0+  1- 1o 2+ 2-   14o D5*  8 0.4
200107  1o 2- 1o 0+  1- 1o 1+ 2o    9o      4 0.2
200108  1o 1o 0+ 0+  2- 3- 2- 2+   11o      6 0.3
200109  3- 3o 4- 2+  2- 2+ 2+ 2-   20- D2* 11 0.6
200110  1o 1- 2+ 2+  2- 2- 1+ 1-   12-      6 0.3
200111  2o 2+ 2o 1+  0+ 1+ 0+ 1-   10+      5 0.2
200112  1o 2- 1- 0+  0+ 0o 0o 0+    4+ Q0   2 0.0
200113  0+ 1- 0+ 0+  0+ 0o 1- 1-    3+ Q5   2 0.0
200114  0+ 0+ 0+ 1-  0+ 0+ 0o 0o    2+ Q3   2 0.0
200115  0+ 0o 1- 2o  1- 1- 1- 1+    6+      3 0.1
200116  1- 2+ 2- 1+  1- 1- 0+ 0+    8o      4 0.1
200117  1- 0+ 0+ 0o  0+ 1+ 1o 0+    4+ Q8   2 0.0
200118  2- 2- 1- 0o  0+ 0o 0o 0+    5-      2 0.0
200119  0o 1- 0o 0o  0o 0+ 0o 0o    1o Q2   1 0.0
200120  0o 0+ 0o 0o  0o 0o 0+ 0o    1- Q1   0 0.0
200121  0o 0o 1- 1o  1+ 3- 2+ 2+   10+      5 0.2
200122  2- 2+ 1o 1+  1o 0+ 1o 3o   12-      6 0.3
200123  2- 2+ 0+ 0+  0o 0+ 1+ 1-    7o      4 0.1
200124  1o 0o 0o 0o  0+ 0+ 0+ 0+    2+ Q4   2 0.0
200125  0o 2+ 1- 0+  0+ 0o 0+ 0o    4o      2 0.0
200126  1o 1- 0o 0+  1o 2- 1- 0o    5+      3 0.0
200127  0+ 1o 1o 0o  0+ 0o 0o 0o    3- Q6   2 0.0
200128  1o 1+ 1o 0+  0o 0+ 1- 3o    8-      4 0.2
200129  3o 3+ 2- 1+  0+ 2- 2- 2o   15o D4*  8 0.4
200130  2o 3- 2o 2-  2+ 3+ 3+ 3o   20+ D1* 12 0.7
200131  2+ 4- 2- 2o  1o 1- 0o 1+   13-      7 0.4
2001                                  Mean  4 0.17

2001 Q 20  19  14  24  13  27   2  17   1  12 
2001 D 30*  9*  5* 29*  6*
