201101  1- 0+ 2- 2o  3o 3o 3- 1o   14+ D4*  8 0.4
201102  0o 0o 1- 0+  0o 0o 1- 1o    3- Q5   2 0.0
201103  2- 0o 0o 1-  0+ 0o 0o 1-    3+ Q8   2 0.0
201104  1- 0+ 0+ 0+  0+ 0+ 0+ 0o    3- Q4   2 0.0
201105  0o 0o 0+ 1-  1+ 0+ 1o 2-    5+      3 0.0
201106  1o 2- 1+ 2-  2o 3- 2+ 1+   14o      7 0.3
201107  1+ 1- 1o 1+  1- 2o 3- 3o   13-      7 0.3
201108  1+ 2- 2o 1o  1o 1+ 1- 0o    9o      4 0.1
201109  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
201110  0o 0o 0+ 0+  0o 0o 0o 0o    1- Q2   0 0.0
201111  0o 0o 0+ 0+  1- 1+ 1+ 2o    6o      3 0.1
201112  1o 0o 1+ 1+  0+ 0+ 0+ 1-    5+      3 0.1
201113  1o 1o 1o 1-  1- 0o 0+ 0+    5o Q0   3 0.0
201114  0o 0o 0+ 0o  1- 1- 2o 1o    5-      2 0.0
201115  1+ 2o 0o 0+  0+ 1o 0o 0o    5o      2 0.0
201116  0o 0o 0o 0o  0+ 0+ 0o 0o    1- Q3   0 0.0
201117  0o 0o 0o 1o  1- 0o 0o 1o    3- Q6   1 0.0
201118  1o 0+ 1+ 0+  0+ 0o 1- 1-    5- Q9   3 0.0
201119  0o 0o 0+ 1+  0o 0o 0+ 1+    3+ Q7   2 0.0
201120  2+ 3o 2o 2o  1- 1- 2- 1-   13o      7 0.3
201121  2o 2- 1o 1-  3- 3- 3+ 3+   17+ D2* 10 0.6
201122  3- 4- 4o 4o  5- 4o 4- 3+   30o D1  24 1.2
201123  2o 3- 2+ 2o  1o 2o 2- 2-   15+ D5*  7 0.4
201124  2- 1o 0o 0+  1- 1o 0+ 1o    6o      3 0.1
201125  1- 2+ 1- 1+  1+ 2o 2- 3-   13-      6 0.3
201126  2- 0+ 1o 1o  2+ 2o 2+ 1+   12o      6 0.3
201127  1o 2+ 2+ 2o  3- 1+ 0+ 1-   13-      6 0.3
201128  3o 3+ 3- 1+  2o 2- 2- 1+   17o D3*  9 0.5
201129  0o 1+ 2o 1+  1o 1+ 0o 0o    7o      3 0.1
201130  1o 3o 3+ 2o  1- 1+ 0o 1+   13-      7 0.4
2011                                  Mean  5 0.19

2011 Q  9  10  16   4   2  17  19   3  18  13 
2011 D 22  21* 28*  1* 23*
